URL,Saved File,Depth
https://www.fhs.hr/en/study/lifelong_learning_programs,crawled_output_en/fhs.hr_en_study_lifelong_learning_programs.md,2
https://www.fhs.hr/en/research,crawled_output_en/fhs.hr_en_research.md,2
https://www.fhs.hr/en/postgraduate_study/vice_dean_research,crawled_output_en/fhs.hr_en_postgraduate_study_vice_dean_research.md,2
https://www.fhs.hr/en/postgraduate_study/philosophy,crawled_output_en/fhs.hr_en_postgraduate_study_philosophy.md,2
https://www.fhs.hr/en/projects,crawled_output_en/fhs.hr_en_projects.md,2
https://www.fhs.hr/en/research_institute/contacts,crawled_output_en/fhs.hr_en_research_institute_contacts.md,2
https://www.fhs.hr/en/research_institute,crawled_output_en/fhs.hr_en_research_institute.md,2
https://www.fhs.hr/en/study,crawled_output_en/fhs.hr_en_study.md,2
https://www.fhs.hr/en/search,crawled_output_en/fhs.hr_en_search.md,2
https://www.fhs.hr/en/study/lifelong_learning_programs/greek_language_course,crawled_output_en/fhs.hr_en_study_lifelong_learning_programs_greek_language_course.md,2
https://www.fhs.hr/en/study/lifelong_learning_programs/center_for_korean_culture_and_language_learning,crawled_output_en/fhs.hr_en_study_lifelong_learning_programs_center_for_korean_culture_and_language_learning.md,2
https://www.fhs.hr/en/undergraduate_study,crawled_output_en/fhs.hr_en_undergraduate_study.md,2
https://www.fhs.hr/en/study/lifelong_learning_programs/ppdmt_-_pedagogical-psychological-didactic-methodological_teacher_education,crawled_output_en/fhs.hr_en_study_lifelong_learning_programs_ppdmt_-_pedagogical-psychological-didactic-methodological_teacher_education.md,2
https://www.fhs.hr/en/study/lifelong_learning_programs/program_for_methodological_training_and_professional_development_of_university_teachers_and_associat,crawled_output_en/fhs.hr_en_study_lifelong_learning_programs_program_for_methodological_training_and_professional_development_of_university_teachers_and_associat.md,2
https://www.fhs.hr/en/undergraduate_study/croatology,crawled_output_en/fhs.hr_en_undergraduate_study_croatology.md,2
https://www.fhs.hr/en/undergraduate_study/communication_sciences,crawled_output_en/fhs.hr_en_undergraduate_study_communication_sciences.md,2
https://www.fhs.hr/en/undergraduate_study/double_major/croatian_studies,crawled_output_en/fhs.hr_en_undergraduate_study_double_major_croatian_studies.md,2
https://www.fhs.hr/en/vice_deans,crawled_output_en/fhs.hr_en_vice_deans.md,2
https://www.fhs.hr/en/useful_information,crawled_output_en/fhs.hr_en_useful_information.md,2
https://www.fhs.hr/en/undergraduate_study/double_major/latin_language,crawled_output_en/fhs.hr_en_undergraduate_study_double_major_latin_language.md,2
https://www.fhs.hr/en/undergraduate_study/double_major/philosophy,crawled_output_en/fhs.hr_en_undergraduate_study_double_major_philosophy.md,2
https://www.fhs.hr/en/undergraduate_study/double_major/sociology,crawled_output_en/fhs.hr_en_undergraduate_study_double_major_sociology.md,2
https://www.fhs.hr/en/undergraduate_study/double_major/history,crawled_output_en/fhs.hr_en_undergraduate_study_double_major_history.md,2
https://www.fhs.hr/en/undergraduate_study/psychology,crawled_output_en/fhs.hr_en_undergraduate_study_psychology.md,2
https://www.fhs.hr/en/undergraduate_study/double_major/com,crawled_output_en/fhs.hr_en_undergraduate_study_double_major_com.md,2
https://www.fhs.hr/en/undergraduate_study/sociology,crawled_output_en/fhs.hr_en_undergraduate_study_sociology.md,2
https://www.fhs.hr/en/undergraduate_study/history,crawled_output_en/fhs.hr_en_undergraduate_study_history.md,2
